location,mood,latitude,longitude
,Positive,,
India,Negative,22.3511148,78.6677428
Kenya,Positive,-4.0265226,39.600720714576624
,Positive,,
,Positive,,
,Negative,,
United States of America,Negative,32.7175399,-117.15789615
Algeria,Positive,35.6101764,-0.5843365724300755
India,Positive,22.3511148,78.6677428
India,Positive,22.3511148,78.6677428
,Positive,,
Nigeria,Positive,6.4550575,3.3941795
Dominican Republic,Positive,19.0974031,-70.3028026
Philippines,Negative,14.3631741,121.0116215
,Positive,,
United States of America,Positive,44.4308975,-89.6884637
Argentina,Positive,-34.6075682,-58.4370894
India,Positive,28.5726442,77.3547609
,Negative,,
China,Positive,22.2823025,114.15786063390414
,Positive,,
Belgium,Negative,51.3210437,4.9367415
,Positive,,
,Positive,,
Nigeria,Positive,6.4550575,3.3941795
Russia,Positive,55.7504461,37.6174943
,Positive,,
United States of America,Negative,32.7174209,-117.1627714
,Negative,,
,Positive,,
United States of America,Positive,41.4134764,-73.3086445
Brazil,Positive,-27.5973002,-48.5496098
United States of America,Negative,35.6729639,-79.0392919
Haiti,Positive,19.37218875,-72.33465445105234
United States of America,Negative,47.6038321,-122.3300624
India,Negative,22.3511148,78.6677428
,Negative,,
France,Positive,45.7774551,3.0819427
,Negative,,
,Positive,,
Nigeria,Positive,7.633333,4.183333
India,Positive,16.7028412,74.2405329
United States of America,Negative,47.6038321,-122.3300624
United States of America,Positive,32.7392973,-96.8111126
,Negative,,
South Africa,Negative,-23.038326,29.906665
,Negative,,
,Positive,,
,Negative,,
,Negative,,
South Africa,Positive,-29.861825,31.009909
,Negative,,
United Kingdom,Positive,55.9533456,-3.1883749
United States of America,Negative,34.2331373,-102.4107493
Germany,Negative,52.5170365,13.3888599
China,Positive,30.3819696,111.4436927
Switzerland,Positive,47.3927146,8.0444448
,Positive,,
Nigeria,Positive,5.783333,6.1
India,Positive,34.205005650000004,74.36221081111597
United Kingdom,Negative,52.7954791,-0.5402402866174321
United States of America,Negative,40.4167022,-86.8752869
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Negative,,
United Kingdom,Positive,52.2034823,0.1235817
,Negative,,
Germany,Negative,48.7784485,9.1800132
United States of America,Negative,34.2331373,-102.4107493
,Positive,,
United States of America,Positive,39.284749399999995,-76.62047463969989
United States of America,Negative,42.99856285,-89.56762611446189
Germany,Positive,53.1389753,8.2146017
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Singapore,Negative,1.31821785,103.89323462550945
India,Positive,18.9387711,72.8353355
,Positive,,
Japan,Negative,35.6828387,139.7594549
United States of America,Positive,38.810751,-91.150268
,Positive,,
Spain,Negative,40.4167047,-3.7035825
Brazil,Positive,-22.90556,-47.06083
China,Negative,22.2793278,114.1628131
,Positive,,
United States of America,Negative,42.1972487,-122.7153995
,Negative,,
China,Positive,30.3819696,111.4436927
Hungary,Negative,47.4983815,19.0404707
,Positive,,
,Negative,,
Nigeria,Positive,6.1996918,8.0348906
Turkey,Negative,41.0096334,28.9651646
India,Positive,17.38878595,78.46106473453146
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
Argentina,Positive,-34.6075682,-58.4370894
Japan,Positive,35.6828387,139.7594549
United States of America,Positive,34.729847,-86.5859011
,Positive,,
,Positive,,
United Kingdom,Positive,52.5010765,-1.8747528
Japan,Negative,35.6465296,139.6532504
,Positive,,
Nigeria,Positive,5.112735,7.364349
Brazil,Positive,-4.9514278,-47.4844564
India,Positive,28.6141793,77.2022662
Malaysia,Negative,3.1055929,101.642697
Portugal,Positive,39.2171138,-9.278711124684799
,Negative,,
Turkey,Positive,41.0096334,28.9651646
,Positive,,
Kenya,Negative,-1.2832533,36.8172449
Japan,Positive,35.6828387,139.7594549
,Negative,,
,Negative,,
Russia,Positive,64.6863136,97.7453061
,Positive,,
Mexico,Positive,19.4326296,-99.1331785
,Positive,,
,Negative,,
Nigeria,Negative,9.6000359,7.9999721
,Positive,,
,Negative,,
Oman,Positive,23.5997857,58.5451305
United States of America,Positive,34.2331373,-102.4107493
Mexico,Positive,19.4326296,-99.1331785
,Negative,,
,Positive,,
,Positive,,
Australia,Positive,-37.8142176,144.9631608
,Negative,,
Mexico,Positive,19.4326296,-99.1331785
,Positive,,
,Positive,,
,Positive,,
United States of America,Positive,32.7762719,-96.7968559
,Positive,,
Japan,Negative,35.774143,139.681209
,Positive,,
,Negative,,
United States of America,Positive,38.5815719,-121.4943996
Japan,Positive,35.6828387,139.7594549
,Negative,,
,Positive,,
,Negative,,
United States of America,Negative,32.4107555,-97.828282
Canada,Positive,44.4521637,-64.3551639
Canada,Positive,42.317099,-83.0353434
United States of America,Positive,33.8455911,-118.3886766
United States of America,Negative,38.5815719,-121.4943996
,Positive,,
United States of America,Positive,37.1232245,-78.4927721
,Negative,,
,Positive,,
,Positive,,
Pakistan,Positive,25.3801017,68.3750376
United States of America,Negative,33.6874388,-80.4363743
Pakistan,Negative,25.3801017,68.3750376
Pakistan,Negative,25.3801017,68.3750376
Pakistan,Positive,25.3801017,68.3750376
Pakistan,Negative,25.3801017,68.3750376
Japan,Positive,35.6828387,139.7594549
Sri Lanka,Negative,6.5229542,80.1142603
France,Positive,45.7823437,5.5024951
,Positive,,
United Kingdom,Positive,51.5073219,-0.1276474
,Positive,,
United Kingdom,Negative,54.7023545,-3.2765753
United States of America,Negative,37.9906638,-81.4264987
,Positive,,
,Positive,,
Australia,Positive,-37.7173009,145.1209088
,Positive,,
,Positive,,
,Positive,,
,Negative,,
,Negative,,
Japan,Positive,35.6399328,138.6380495
,Positive,,
Romania,Positive,46.9599823,22.0541733
United States of America,Positive,36.7014631,-118.7559974
,Negative,,
Italy,Positive,46.4981125,11.3547801
The Netherlands,Positive,52.8903252,6.1401858
Pakistan,Positive,25.3801017,68.3750376
Germany,Positive,49.872775,8.651177
Pakistan,Positive,25.3801017,68.3750376
Japan,Positive,35.1968074,136.86483523229543
,Positive,,
Brazil,Positive,-20.3297293,-40.2920284
,Positive,,
Algeria,Positive,36.1892751,5.403493
Pakistan,Positive,25.3801017,68.3750376
,Negative,,
,Negative,,
United Kingdom,Positive,53.3806626,-1.4702278
,Positive,,
Pakistan,Positive,25.3801017,68.3750376
Pakistan,Positive,25.3801017,68.3750376
,Positive,,
Japan,Positive,36.5748441,139.2394179
,Negative,,
United Kingdom,Positive,51.5073219,-0.1276474
Japan,Positive,35.6828387,139.7594549
,Positive,,
,Positive,,
Mexico,Positive,19.4326296,-99.1331785
United States of America,Positive,43.0349931,-87.922497
,Positive,,
United States of America,Positive,36.7014631,-118.7559974
India,Positive,28.6141793,77.2022662
United States of America,Positive,39.9527237,-75.1635262
,Negative,,
,Positive,,
,Positive,,
,Negative,,
,Positive,,
,Positive,,
,Positive,,
,Negative,,
Brazil,Positive,-19.9227318,-43.9450948
,Positive,,
Haiti,Positive,19.37218875,-72.33465445105234
,Positive,,
Colombia,Positive,4.2122062,-74.2370487
,Negative,,
Poland,Negative,52.2344802,21.0188215
Australia,Positive,-31.9527121,115.8604796
Philippines,Positive,14.3631741,121.0116215
,Negative,,
,Negative,,
Germany,Positive,52.5170365,13.3888599
Australia,Positive,-27.4689682,153.0234991
,Positive,,
Russia,Positive,59.9606739,30.1586551
Spain,Negative,40.4167047,-3.7035825
Spain,Positive,43.3224219,-1.9838889
,Positive,,
,Positive,,
Australia,Negative,-28.0023731,153.4145987
,Positive,,
Spain,Positive,38.353738,-0.4901846
,Negative,,
Brazil,Positive,-10.3333333,-53.2
Japan,Negative,35.6997364,139.7712503
,Positive,,
,Positive,,
Bosnia and Herzegovina,Negative,43.8222157,17.6896937
,Negative,,
,Negative,,
Russia,Negative,59.9606739,30.1586551
,Negative,,
,Negative,,
Singapore,Positive,1.357107,103.8194992
,Negative,,
Japan,Negative,34.81024,132.851691
,Positive,,
Germany,Positive,51.0834196,10.4234469
Albania,Positive,41.3929539,19.7594526
Venezuela,Negative,8.0018709,-66.1109318
United States of America,Positive,35.7079146,-79.8136446
,Positive,,
,Positive,,
,Negative,,
,Negative,,
,Positive,,
Philippines,Positive,14.3631741,121.0116215
,Positive,,
,Positive,,
,Positive,,
,Positive,,
,Negative,,
United States of America,Negative,40.7127281,-74.0060152
Russia,Positive,59.9606739,30.1586551
,Positive,,
,Positive,,
,Positive,,
India,Negative,22.3511148,78.6677428
,Positive,,
Spain,Positive,39.4697065,-0.3763353
,Positive,,
Japan,Negative,34.9991645,137.254574
Spain,Negative,38.353738,-0.4901846
,Positive,,
,Positive,,
,Positive,,
India,Negative,22.3511148,78.6677428
